Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable,
M.,Erwan,Faure,BillU,Paris,Communication et Relations publiques,Communication interne,Chargé de communication,Gaelle,Colin,PA10218,,17/06/1993,0127364911,0707561174,
Mme,Laurence,Guerin,BillU,Paris,Communication et Relations publiques,Gestion des marques,Designer graphique,Gaelle,Colin,PA63117,DELL,20/07/1990,0114806301,0642681764,
Mme,Ines,Henry,BillU,Paris,Communication et Relations publiques,Gestion des marques,Webmaster,Gaelle,Colin,PA39469,DELL,05/01/2000,0138585445,0685150170,
M.,Mathias,Muller,BillU,Paris,Communication et Relations publiques,Gestion des marques,Community manager,Gaelle,Colin,PA63498,DELL,08/12/2000,0112691924,0695993512,
M.,Lukas,Rousseau,BillU,Paris,Communication et Relations publiques,Gestion des marques,photographe,Gaelle,Colin,PA74987,DELL,19/04/1993,0199526389,0742450021,
M.,Gaetan,Roussel,BillU,Paris,Communication et Relations publiques,Gestion des marques,Webmaster,Gaelle,Colin,PA74884,DELL,27/10/1994,0181708327,0622836246,
M.,Loic,Blanc,BillU,Paris,Communication et Relations publiques,Gestion des marques,Responsable marques,Gaelle,Colin,PA58210,DELL,6/07/2001,0189652201,0788543637,
Mme,Gaelle,Colin,BillU,Paris,Communication et Relations publiques,Communication interne,Responsable communication,Noémie,Leloir,PA23669,DELL,23/06/1999,0146389837,0625101497,
M.,Aurelien,Brunet,BillU,Paris,Communication et Relations publiques,Relation Médias,Responsable relation média,Noémie,Leloir,PA68867,DELL,12/03/1985,0114409115,0778858220,
Mme,Noémie,Leloir,BillU,Paris,Communication et Relations publiques,,Directrice Communication et Relations publiques,Camille,Martin,PA68385,DELL,14/11/1994,0165300831,0628752957,
Mme,Isabel,Gomez,BillU,Paris,Département dev logiciel,Recherche et Prototype,Développeur,Niko,Gruber,PA21386,HP,23/06/1984,0158890916,0601928581,
M.,Julien,Le Karadec-Hyacyne,BillU,Paris,Département dev logiciel,Recherche et Prototype,Développeur,Niko,Gruber,PA67334,LENOVO,10/12/2001,0182968579,0714669952,
Mme,Sophie,Mercier--Le-Coutourd,BillU,Paris,Département dev logiciel,Recherche et Prototype,Développeur,Niko,Gruber,PA27339,HP,11/03/1992,0138775905,0704209714,
M.,Luca,Duval,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA18845,LENOVO,25/09/1987,-,-,
M.,Oscar,Gautier,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA72016,HP,15/06/1990,-,-,
Mme,Charlotte,Giroux,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA99876,LENOVO,14/12/1998,-,-,
M.,Felix,Hoffmann,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA41987,HP,26/08/1987,-,-,
M.,Florent,Houssay,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA90613,HP,12/10/1993,-,-,
Mme,Stéphanie,Le Kerbriault,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA42543,TOSHIBA,17/03/1983,-,-,
M.,William,Lemaire,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA45623,LENOVO,10/08/1998,-,-,
M.,Jéremy,Martelant,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA23575,LENOVO,30/06/1989,-,-,
Mme,Nadège,Rouiller,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA36514,LENOVO,05/12/1983,-,-,
M.,Sacha,Sacha-David,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA31686,HP,13/08/1991,-,-,
M.,Adam,Thomas,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA43813,TOSHIBA,03/03/1993,-,-,
Mme,Sofia,Rossi,BillU,Paris,Département dev logiciel,,Directeur Développement logiciel,Camille,Martin,PA93655,TOSHIBA,21/09/1998,0185544131,0730413931,
Mme,Yara,Abadi,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA58412,LENOVO,11/08/1985,-,-,
M.,Youssef,Al-Masri,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA51530,HP,29/06/1983,-,-,
Mme,Hamza,Amari,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA10427,,28/10/1993,-,-,
M.,Klaus,Becker,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA52587,LENOVO,18/07/2000,-,-,
Mme,Giulia,Belhaj,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48945,HP,19/05/1987,-,-,
M.,Malik,Belkacem,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48942,HP,30/07/1980,-,-,
Mme,Aya,Benali,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA77535,DELL,29/10/1987,-,-,
Mme,Sara,Besnheard,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA15299,HP,04/09/1988,-,-,
Mme,Amélie,Blanchet,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA21577,TOSHIBA,08/08/2001,-,-,
M.,Victor,Chevalier,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA32765,DELL,20/06/1983,-,-,
M.,Samuel,Clement,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA45337,DELL,07/01/1992,-,-,
Mme,Jaxon,Dicker Brown,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA78780,DELL,04/02/1995,-,-,
M.,Jin,Diop,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48933,HP,25/11/1991,-,-,
M.,Kevin,Dumont,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA32275,DELL,27/10/1986,-,-,
Mme,Ines,Dupont,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA62916,LENOVO,10/10/1997,-,-,
M.,Sébastien,Durand,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA27630,DELL,25/11/1993,-,-,
M.,Théo,Durand,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48950,LENOVO,21/01/1992,-,-,
Mme,Amira,El-Mahdi,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA55201,TOSHIBA,29/07/1996,-,-,
M.,Mohammed,Elbaz,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48939,DELL,22/09/1985,-,-,
M.,Matteo,Ferrari,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA96975,DELL,23/04/1999,-,-,
M.,Tristan,Fontaine,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA96447,DELL,25/02/1988,-,-,
Mme,Amélie,Fournier,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA60728,DELL,22/07/1987,-,-,
Mme,Clara,Garcia,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48530,LENOVO,25/12/1993,-,-,
M.,Simon,Gauthier,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA28156,HP,01/11/1992,-,-,
M.,Vincent,Gerard,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA52948,LENOVO,18/09/1988,-,-,
M.,Emilien,Gerot,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA51163,LENOVO,31/07/1999,-,-,
M.,Aarav,Gupta,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA24630,HP,30/06/1994,-,-,
Mme,Noura,Habib,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48943,HP,09/12/1998,-,-,
M.,Miguel,Hernandez,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA52831,DELL,12/06/1982,-,-,
M.,Tarek,Ibrahimovic,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48937,LENOVO,07/01/1976,-,-,
M.,Dmitri,Ivanov,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA75404,DELL,13/09/1996,-,-,
Mme,Mia,Johnson,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA67552,DELL,07/02/1992,-,-,
M.,Eshan,Khan,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA34827,TOSHIBA,30/01/1994,-,-,
Mme,Lucia,Kimura,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48938,LENOVO,14/04/1990,-,-,
M.,Henri,Lambert,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA85194,HP,06/08/1997,-,-,
Mme,Emmanuelle,Le Doux,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA95467,DELL,31/10/1982,-,-,
M.,Tristan,Le Petit,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA74440,HP,14/10/1986,-,-,
Mme,Emma,Leclerc,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA19161,LENOVO,06/09/1986,-,-,
M.,Etienne,Legrand,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA86254,HP,02/03/2000,-,-,
M.,Tenzin,Li,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48932,DELL,12/08/1983,-,-,
M.,Sacha,Lopez,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA19651,LENOVO,10/10/1997,-,-,
Mme,Fergie,Lork,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA79446,TOSHIBA,26/07/1996,-,-,
M.,Ibrahim,Mansouri,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48948,HP,08/06/1996,-,-,
M.,Luc,Martin,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA94045,TOSHIBA,23/06/1995,-,-,
Mme,Rafaella,Martinez,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA99298,DELL,30/04/1993,-,-,
M.,Killian,Masson,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA34551,LENOVO,06/10/2000,-,-,
M.,Giovanni,Moretti,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA45337,TOSHIBA,16/01/1995,-,-,
Mme,Lina,Müller,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA25185,DELL,02/10/1992,-,-,
Mme,Sara,Nakamura,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48949,LENOVO,04/04/1982,-,-,
M.,Martin,Nguyen,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA57906,DELL,18/07/1998,-,-,
M.,Seamus,O'Connor,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48799,HP,24/07/1987,-,-,
M.,Morgan,O'Flaherty,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA36514,DELL,22/10/1983,-,-,
Mme,Nora,O'Sullivan,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA12745,DELL,15/01/1988,-,-,
Mme,Amara,Papadopoulos,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48934,LENOVO,03/03/1979,-,-,
M.,Yiannis,Papadopoulos,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA57679,TOSHIBA,27/04/1991,-,-,
M.,Arjun,Patel,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA40065,DELL,03/06/2001,-,-,
Mme,Carla,Pelcaut,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA77321,DELL,07/12/1988,-,-,
M.,Guillaume,Pierre,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA74884,DELL,04/09/2001,-,-,
M.,Yohan,Pillet,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA83956,DELL,26/12/1998,-,-,
Mme,Chloé,Recteur,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA69037,HP,01/06/1993,-,-,
M.,Youssef,Ricci,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48944,DELL,01/01/1975,-,-,
M.,Norman,Robin,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA57512,HP,23/09/1993,-,-,
M.,Jean,Rolland,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA43813,DELL,16/03/1997,-,-,
M.,Fabio,Romano,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA90927,HP,13/08/1995,-,-,
Mme,Elena,Romero,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48936,HP,29/10/1988,-,-,
M.,Benjamin,Schmitt,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA33002,DELL,10/01/1986,-,-,
Mme,Julia,Schneider,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA43252,DELL,02/09/1997,-,-,
M.,Abdou,Selim,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48935,HP,17/06/1995,-,-,
Mme,Zoe,Smith,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA53861,DELL,19/06/1998,-,-,
M.,Hiroshi,Sow,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48941,LENOVO,11/02/2001,-,-,
M.,Kaito,Takahashi,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA92121,LENOVO,04/12/1996,-,-,
M.,Raj,Traoré,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48947,HP,16/10/1978,-,-,
Mme,Zineb,Verma,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48946,LENOVO,27/03/1994,-,-,
M.,David,Vidal,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA59874,TOSHIBA,16/12/1985,-,-,
M.,Hao,Wang,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA70346,DELL,19/07/1984,-,-,
Mme,Anya,Yamada,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA48940,HP,05/05/1993,-,-,
Mme,Aurélie,Yosef,BillU,Paris,Département dev logiciel,Développement,Développeur,Florian,Rellay,PA23575,DELL,23/08/1990,-,-,
M.,Wilfried,José,BillU,Paris,Département dev logiciel,analyse et conception,Responsable analyse et conception,Sofia,Rossi,PA14433,LENOVO,29/06/1987,0188064257,0773629374,
M.,Florian,Rellay,BillU,Paris,Département dev logiciel,Développement,Responsable developpement,Sofia,Rossi,PA33002,TOSHIBA,17/05/1991,0126036632,0749534624,
M.,Niko,Gruber,BillU,Paris,Département dev logiciel,Recherche et Prototype,Responsable Recherche,Sofia,Rossi,PA82471,HP,17/11/1993,0148808015,0653178244,
Mme,Elena,Sánchez,BillU,Paris,Département dev logiciel,Dev tests,Responsable test et qualité,Sofia,Rossi,PA83940,LENOVO,23/12/1986,0107161739,0628631838,
M.,Tariq,Aziz,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA31010,LENOVO,12/03/1989,-,-,
M.,Guido,Bianchi,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA27339,LENOVO,25/09/1983,-,-,
Mme,Camille,Bôrner,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA46875,LENOVO,07/06/2000,-,-,
M.,Olivetti,Del Roy,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA78411,HP,20/03/1989,-,-,
M.,Léo,Dubois,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA84928,LENOVO,07/12/1997,-,-,
Mme,Marie,Dufour,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA72687,LENOVO,22/05/2000,-,-,
M.,Niamh,Fitzpatrick,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA31784,TOSHIBA,11/04/1987,-,-,
M.,Esteban,Gonzàlez,2Face,Paris,Département dev logiciel,Dev tests,Testeur,Elena,Sánchez,-,-,-,-,-,
M.,Fabien,Hy-D’Jykov,2Face,Paris,Département dev logiciel,Dev tests,Testeur,Elena,Sánchez,-,-,-,0177322131,0619087602,
Mme,Héléna,Kusmérowa,2Face,Paris,Département dev logiciel,Dev tests,Testeur,Elena,Sánchez,-,-,-,-,-,
M.,Fabien,Lecointre,2Face,Paris,Département dev logiciel,Dev tests,Testeur,Elena,Sánchez,-,-,-,-,-,
Mme,Nina,Ledoux,BillU,Paris,Département dev logiciel,analyse et conception,Développeur,Wilfried,José,PA31356,LENOVO,21/04/1998,-,-,
Mme,Angéline,Lefaivre,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA21358,LENOVO,04/06/1999,-,-,
Mme,Laura,Lemeunier,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA46875,HP,30/04/2001,-,-,
M.,Rémy,Leriche,2Face,Paris,Département dev logiciel,Dev tests,Testeur,Elena,Sánchez,-,-,-,-,-,
Mme,Eva,Simonet,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA81191,LENOVO,20/01/1994,-,-,
M.,Maximilian,Wagner,BillU,Paris,Département dev logiciel,Dev tests,Développeur,Elena,Sánchez,PA53201,HP,29/11/1984,-,-,
M.,Jérémie,Allert,Livingston & Associés,Paris,Département Juridique,Droit des sociétés,Juriste,Jacqueline,André,-,-,-,0123954236,-,
Mme,Nadia,Culcùu,Livingston & Associés,Paris,Département Juridique,Droit des sociétés,Juriste,Jacqueline,André,-,-,-,0168235541,-,
Mme,Amina,Diallo,BillU,Paris,Département Juridique,Droit des sociétés,Juriste,Jacqueline,André,PA52039,,,,-,
Mme,Irène,Idr-Bongo,Livingston & Associés,Paris,Département Juridique,Droit des sociétés,Avocat,Jacqueline,André,-,-,-,0142995102,-,
M.,Serge,Kalfandier,Livingston & Associés,Paris,Département Juridique,Droit des sociétés,Avocat,Jacqueline,André,-,-,-,0187569924,-,
M.,Luca,Rossi,BillU,Paris,Département Juridique,Droit des sociétés,Juriste,Jacqueline,André,PA04236,,,,-,
Mme,Hélène,Cault-Benoît,BillU,Paris,Département Juridique,Propriété intellectuelle,Juriste,Jacqueline,André,PA26363,LENOVO,30/06/1985,0155916179,-,
Mme,Faustine,Denis,BillU,Paris,Département Juridique,Propriété intellectuelle,Juriste,Jacqueline,André,PA51856,HP,15/03/1983,0102226399,-,
Mme,Yara,Haddad,BillU,Paris,Département Juridique,Propriété intellectuelle,Juriste,Jacqueline,André,PA74362,HP,04/06/1982,0122369523,-,
Mme,Maina,Krajycëk,BillU,Paris,Direction des ressources humaines,,Directeur des ressources humaines,Camille,Martin,PA44632,LENOVO,12/01/1997,0173445822,0750878809,
Mme,Fatou,Ba,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Jacqueline,André,PA46325,LENOVO,13/03/1984,0136923365,-,
M.,Robin,Bourgeois,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Jacqueline,André,PA33490,HP,17/07/1997,0130797419,-,
M.,Yann,Boyer,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Jacqueline,André,PA48690,LENOVO,30/03/1992,0198705216,-,
M.,Diego,Fernandez,BillU,Paris,Département Juridique,Protection des données et conformité,Juriste,Jacqueline,André,PA99523,DELL,19/03/1987,0132005698,-,
Mme,Jacqueline,André,BillU,Paris,Département Juridique,,Directeur juridique,Camille,Martin,PA87056,LENOVO,19/07/1977,0169521011,0757881221,
M.,Remi,Advezekt,BillU,Paris,Direction des ressources humaines,,Juriste,Christophe,Leroux,PA12540,LENOVO,28/05/1997,0488168544,-,
M.,Ismail,Aloui,BillU,Paris,Direction générale,,Assistant de direction,Camille,Martin,PA44025,DELL,11/07/1994,0169526844,0799523610,
M.,Alexis,Bernard,BillU,Paris,Direction générale,,Directeur adjoint,Camille,Martin,PA89346,DELL,13/08/1997,0187246457,0738812832,
M.,Léonard,Dubois,BillU,Paris,Direction générale,,Assistant de direction,Camille,Martin,PA75792,TOSHIBA,12/12/1998,0112092812,0757172438,
Mme,Kim,Park,BillU,Paris,Direction générale,,Assistant de direction,Camille,Martin,PA204692,DELL,29/08/1997,0169523302,0695330569,
Mme,Naomi,Yamamoto,BillU,Paris,Direction générale,,Assistant de direction,Camille,Martin,PA441236,DELL,02/01/2001,0187446290,0677452036,
Mme,Camille,Martin,BillU,Paris,Direction générale,,CEO,-,,PA12959,TOSHIBA,09/05/1985,0160409379,0653791741,
M.,Anthony,Noel,BillU,Paris,DSI,,Directeur des systèmes d'information,Camille,Martin,PA85785,DELL,31/10/1990,0174752256,0663073894,
M.,Mathis,Mercier,BillU,Paris,DSI,Administration Systèmes et Réseaux,Technicien réseaux,Anthony,Noel,PA30819,DELL,21/08/1993,0466874640,0745093669,
M.,Alan,Meunier,BillU,Paris,DSI,Administration Systèmes et Réseaux,Technicien réseaux,Anthony,Noel,PA21577,DELL,02/08/1995,0194124692,0687340310,
Mme,Marie,Meyer,BillU,Paris,DSI,Administration Systèmes et Réseaux,Technicien Systèmes,Anthony,Noel,PA33490,DELL,27/12/1997,0134344137,0717065142,
Mme,Juliette,Roux,BillU,Paris,DSI,Développement et Intégration,Développeur,Anthony,Noel,PA73994,DELL,30/05/1985,0134118694,0665692415,
Mme,Juliette,Roy,BillU,Paris,DSI,Développement et Intégration,Développeur,Anthony,Noel,PA83956,DELL,12/11/1991,0104199164,0637045158,
M.,Rémy,Hôlt-Sh'Karov,BillU,Paris,DSI,Développement et Intégration,Intégrateur,Anthony,Noel,PA52103,DELL,10/09/1989,0192883550,0770092044,
M.,Julien,Duran,BillU,Paris,DSI,Exploitation,Technicien de maintenance,Anthony,Noel,PA84572,DELL,01/05/1989,0137916836,0704153936,
M.,Bryan,Perez,BillU,Paris,DSI,Exploitation,Technicien d'exploitation,Anthony,Noel,PA78323,DELL,22/05/1993,0131204687,0664331983,
M.,Aaron,Roche,BillU,Paris,DSI,Exploitation,Technicien d'exploitation,Anthony,Noel,PA76820,DELL,20/10/2001,0400609816,0673124437,
Mme,Ines,Roger,BillU,Paris,DSI,Exploitation,Technicien de maintenance,Anthony,Noel,PA69442,DELL,13/12/1997,0490987479,0617155871,
M.,Tom,Morel,BillU,Paris,DSI,Support,Hotliner,Anthony,Noel,PA32765,DELL,31/03/2001,0181640031,0666489658,
Mme,Noémie,Andre-Letourbin,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Jean,Leclerc,PA12959,TOSHIBA,05/05/1995,0109401276,-,
M.,Alex,Barbier,BillU,Paris,Finance et Comptabilité,Finance,Analyste financier,Jean,Leclerc,PA34551,TOSHIBA,21/10/1992,0153906457,-,
M.,Ali,Khan,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Jean,Leclerc,PA68870,HP,08/10/2000,0196036547,-,
Mme,Sofia,Moreau,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Jean,Leclerc,PA68869,HP,01/10/1985,0166520394,-,
M.,Mikhail,Petrov,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Jean,Leclerc,PA68868,TOSHIBA,24/09/1981,0112369506,-,
M.,Matteo,Simon,BillU,Paris,Finance et Comptabilité,Finance,Controleur de gestion,Jean,Leclerc,PA57512,HP,28/11/1986,0175097244,-,
Mme,Manon,Brun,BillU,Paris,Finance et Comptabilité,Service Comptabilité,Comptable,Jean,Leclerc,PA68447,LENOVO,11/06/1998,0460954183,-,
M.,Maël,Laurent,BillU,Paris,Finance et Comptabilité,Service Comptabilité,Comptable,Jean,Leclerc,PA30790,HP,14/08/1987,0157784039,-,
M.,Maxime,Lefebvre,BillU,Paris,Finance et Comptabilité,Service Comptabilité,Comptable,Jean,Leclerc,PA56314,DELL,26/05/2000,0107939301,-,
M.,Jean,Leclerc,BillU,Paris,Finance et Comptabilité,Finance,Directeur financier,Camille,Martin,PA68867,HP,18/10/1992,0154314543,0648462640,
Mme,Louise,Richard,BillU,Paris,QHSE,Certification,Auditeur,Arielle,Leroy,PA81191,LENOVO,29/05/1990,0159009944,0762598012,
M.,Lucas,Moraud,BillU,Paris,QHSE,Contrôle Qualité,Animateur sécurité,Arielle,Leroy,PA26363,LENOVO,28/08/1998,0108552477,0765920369,
M.,David,Cohen,BillU,Paris,QHSE,Gestion environnementale,Technicien HSE,Arielle,Leroy,PA26365,LENOVO,28/09/2001,0132663940,-,
Mme,Anjali,Kapoor,BillU,Paris,QHSE,Gestion environnementale,Technicien HSE,Arielle,Leroy,PA26364,LENOVO,15/05/1989,0155239480,-,
M.,Enzo,Petit,BillU,Paris,QHSE,Gestion environnementale,Technicien HSE,Arielle,Leroy,PA74987,LENOVO,24/10/1998,0171818675,-,
Mme,Arielle,Leroy,BillU,Paris,QHSE,Contrôle Qualité,Responsable QHSE,Camille,Martin,PA53466,TOSHIBA,14/08/1993,0187941494,0718694265,
M.,Bastien,Lucas,BillU,Paris,Département Commercial,ADV,Responsable ADV,Pierre,David,PA16564,DELL,16/07/1988,0154658546,0697336293,
